title,description
"[Pèlerins] #1 — Plan d'épargne progressif","**Bénéficiaire :** Pèlerins
**Issue du brainstorm ""Cent Fonctionnalités"" #1**

Objectif = prix du forfait, épargne automatique par prélèvement Mobile Money, rappels doux plutôt que des relances agressives.

**ADR concerné :** ADR 0006

**À vérifier avant/pendant l'implémentation :**
- [ ] Cohérence : suit les conventions déjà en place (module NestJS dédié si backend, séparation DTO/Prisma, voir ADR 0002)
- [ ] Maintenabilité : pas de logique métier dans les contrôleurs ; tests avant merge si le module touche paiement/documents/SOS (CLAUDE.md)
- [ ] Sécurité : aucune donnée de paiement en clair côté serveur (ADR 0006) ; statut confirmé uniquement par callback serveur-à-serveur
- [ ] Traçabilité : toute opération financière journalisée (qui, quand, montant, référence)
- [ ] Fiabilité : montant et devise jamais recalculés côté client, toujours revalidés côté serveur"
"[Pèlerins] #2 — Simulateur de budget total","**Bénéficiaire :** Pèlerins
**Issue du brainstorm ""Cent Fonctionnalités"" #2**

Forfait + argent de poche + cadeaux + assurance — le prix affiché n'est jamais le coût réel du voyage.

**À vérifier avant/pendant l'implémentation :**
- [ ] Cohérence : suit les conventions déjà en place (module NestJS dédié si backend, séparation DTO/Prisma, voir ADR 0002)
- [ ] Maintenabilité : pas de logique métier dans les contrôleurs ; tests avant merge si le module touche paiement/documents/SOS (CLAUDE.md)"
"[Pèlerins] #3 — Checklist de préparation","**Bénéficiaire :** Pèlerins
**Issue du brainstorm ""Cent Fonctionnalités"" #3**

Documents, vaccins, bagages — rappels échelonnés sur plusieurs mois, pas une liste unique écrasante.

**À vérifier avant/pendant l'implémentation :**
- [ ] Cohérence : suit les conventions déjà en place (module NestJS dédié si backend, séparation DTO/Prisma, voir ADR 0002)
- [ ] Maintenabilité : pas de logique métier dans les contrôleurs ; tests avant merge si le module touche paiement/documents/SOS (CLAUDE.md)"
"[Pèlerins] #4 — Micro-cours ""Préparer sa Oumra/Hadj""","**Bénéficiaire :** Pèlerins
**Issue du brainstorm ""Cent Fonctionnalités"" #4**

Vidéos courtes téléchargeables à l'avance, consultables hors-ligne pendant le voyage.

**ADR concerné :** ADR 0007

**À vérifier avant/pendant l'implémentation :**
- [ ] Cohérence : suit les conventions déjà en place (module NestJS dédié si backend, séparation DTO/Prisma, voir ADR 0002)
- [ ] Maintenabilité : pas de logique métier dans les contrôleurs ; tests avant merge si le module touche paiement/documents/SOS (CLAUDE.md)
- [ ] Fiabilité : reste utilisable hors-ligne si l'usage le justifie (ADR 0007, pattern local-first puis sync par lot)"
"[Pèlerins] #5 — Communauté pré-départ","**Bénéficiaire :** Pèlerins
**Issue du brainstorm ""Cent Fonctionnalités"" #5**

Forum privé du groupe/agence pour se rencontrer avant de partir — moins d'anxiété à l'arrivée.

**À vérifier avant/pendant l'implémentation :**
- [ ] Cohérence : suit les conventions déjà en place (module NestJS dédié si backend, séparation DTO/Prisma, voir ADR 0002)
- [ ] Maintenabilité : pas de logique métier dans les contrôleurs ; tests avant merge si le module touche paiement/documents/SOS (CLAUDE.md)
- [ ] Sécurité : chiffrement au repos si donnée de santé/identité stockée (voir ADR 0008)
- [ ] Sécurité : contrôle d'accès strict par rôle — un utilisateur ne voit que ses propres données
- [ ] Traçabilité : journalisation de tout accès en lecture à une donnée sensible
- [ ] Fiabilité : minimisation — ne stocker que le strict nécessaire, purge après un délai défini"
"[Pèlerins] #6 — Quiz des rites","**Bénéficiaire :** Pèlerins
**Issue du brainstorm ""Cent Fonctionnalités"" #6**

Tester ses connaissances avant de partir, en s'amusant un peu — complément au guide des rites.

**À vérifier avant/pendant l'implémentation :**
- [ ] Cohérence : suit les conventions déjà en place (module NestJS dédié si backend, séparation DTO/Prisma, voir ADR 0002)
- [ ] Maintenabilité : pas de logique métier dans les contrôleurs ; tests avant merge si le module touche paiement/documents/SOS (CLAUDE.md)
- [ ] Conformité : badge ""à valider par une personne qualifiée"" tant que non validé (CLAUDE.md, section Contenu religieux)
- [ ] Fiabilité : jamais présenté comme définitif sans validation explicite, même en brouillon avancé"
"[Pèlerins] #7 — Guide santé du voyageur","**Bénéficiaire :** Pèlerins
**Issue du brainstorm ""Cent Fonctionnalités"" #7**

Vaccins obligatoires/recommandés, gestion de la chaleur, hydratation, trousse à pharmacie type.

**À vérifier avant/pendant l'implémentation :**
- [ ] Cohérence : suit les conventions déjà en place (module NestJS dédié si backend, séparation DTO/Prisma, voir ADR 0002)
- [ ] Maintenabilité : pas de logique métier dans les contrôleurs ; tests avant merge si le module touche paiement/documents/SOS (CLAUDE.md)"
"[Pèlerins] #8 — Convertisseur + budget quotidien","**Bénéficiaire :** Pèlerins
**Issue du brainstorm ""Cent Fonctionnalités"" #8**

Combien dépenser par jour sur place selon le budget total restant, en riyals et en devise locale.

**À vérifier avant/pendant l'implémentation :**
- [ ] Cohérence : suit les conventions déjà en place (module NestJS dédié si backend, séparation DTO/Prisma, voir ADR 0002)
- [ ] Maintenabilité : pas de logique métier dans les contrôleurs ; tests avant merge si le module touche paiement/documents/SOS (CLAUDE.md)
- [ ] Sécurité : aucune donnée de paiement en clair côté serveur (ADR 0006) ; statut confirmé uniquement par callback serveur-à-serveur
- [ ] Traçabilité : toute opération financière journalisée (qui, quand, montant, référence)
- [ ] Fiabilité : montant et devise jamais recalculés côté client, toujours revalidés côté serveur"
"[Pèlerins] #9 — Assurance voyage intégrée","**Bénéficiaire :** Pèlerins
**Issue du brainstorm ""Cent Fonctionnalités"" #9**

Santé, bagages, annulation — proposée directement dans le tunnel de réservation, pas en dehors de l'app.

**ADR concerné :** ADR 0019 (à accepter avant implémentation)

**À vérifier avant/pendant l'implémentation :**
- [ ] Cohérence : suit les conventions déjà en place (module NestJS dédié si backend, séparation DTO/Prisma, voir ADR 0002)
- [ ] Maintenabilité : pas de logique métier dans les contrôleurs ; tests avant merge si le module touche paiement/documents/SOS (CLAUDE.md)
- [ ] Sécurité : aucune donnée de paiement en clair côté serveur (ADR 0006) ; statut confirmé uniquement par callback serveur-à-serveur
- [ ] Traçabilité : toute opération financière journalisée (qui, quand, montant, référence)
- [ ] Fiabilité : montant et devise jamais recalculés côté client, toujours revalidés côté serveur
- [ ] Sécurité : chiffrement au repos si donnée de santé/identité stockée (voir ADR 0008)
- [ ] Sécurité : contrôle d'accès strict par rôle — un utilisateur ne voit que ses propres données
- [ ] Traçabilité : journalisation de tout accès en lecture à une donnée sensible
- [ ] Fiabilité : minimisation — ne stocker que le strict nécessaire, purge après un délai défini"
"[Pèlerins] #10 — Recommandation de forfait personnalisée","**Bénéficiaire :** Pèlerins
**Issue du brainstorm ""Cent Fonctionnalités"" #10**

Selon budget, dates possibles, composition familiale — plutôt qu'une liste brute à filtrer soi-même.

**À vérifier avant/pendant l'implémentation :**
- [ ] Cohérence : suit les conventions déjà en place (module NestJS dédié si backend, séparation DTO/Prisma, voir ADR 0002)
- [ ] Maintenabilité : pas de logique métier dans les contrôleurs ; tests avant merge si le module touche paiement/documents/SOS (CLAUDE.md)"
